Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",interactionTime
0,1,11,9,1,4,2,51,6,1,5,3,5,5,5,5,3,5,5,3,2
1,1,11,12,3,4,2,51,6,1,4,3,1,1,3,3,4,2,5,1,4
2,1,11,9,1,4,2,51,6,1,5,4,3,1,5,2,4,3,5,1,2
3,1,11,12,1,4,2,51,6,3,4,3,2,2,4,4,2,3,3,1,2
4,1,11,12,3,4,2,51,6,1,4,4,1,1,5,5,1,2,2,3,2
5,1,11,9,1,4,2,51,6,1,5,5,3,2,4,4,2,3,2,3,4
6,1,5,10,1,4,2,51,6,3,4,3,1,1,5,5,1,5,5,1,2
7,1,5,12,3,4,2,10,6,3,5,5,1,1,4,3,1,2,1,3,2
8,1,12,18,3,4,2,51,6,3,4,1,1,1,5,5,2,2,5,1,2
9,1,11,65,3,7,9,13,6,5,5,5,3,3,1,1,1,1,1,3,2
10,1,11,11,1,4,2,51,6,1,5,3,4,2,3,3,1,5,5,3,4
11,1,11,11,1,4,2,10,6,1,4,5,2,1,4,5,1,4,3,3,3
12,1,11,11,3,1,33,17,5,5,5,5,5,1,2,3,5,1,3,1,3
13,1,11,11,1,4,2,51,6,3,4,4,3,2,5,5,3,4,4,1,4
14,1,11,19,3,4,105,61,6,3,5,5,1,1,3,3,1,1,1,3,2
15,1,11,9,1,4,2,51,6,1,3,4,2,2,2,2,1,3,2,3,4
16,1,5,12,1,4,2,10,6,1,3,3,1,1,4,4,2,4,5,1,4
17,1,13,11,1,4,2,10,6,3,3,4,2,1,4,4,1,2,3,1,4
18,1,11,9,1,4,2,49,6,1,5,4,4,4,5,5,3,5,5,3,2
19,1,12,11,3,4,2,10,6,3,5,3,4,2,5,5,2,5,4,1,4
20,1,5,14,3,4,2,10,6,3,5,4,2,2,3,4,2,4,5,3,2
21,1,5,9,3,4,5,51,6,1,4,4,3,3,2,2,2,3,3,1,4
22,1,13,10,3,4,2,51,6,3,5,5,2,1,5,5,2,4,5,3,2
23,0,5,10,3,4,2,51,6,1,3,2,2,2,2,3,3,4,2,3,2
